date,time,open,high,low,close,volume
1240102,930,14997.50,15005.00,14992.50,15000.00,125
1240102,931,15005.92,15013.42,15000.92,15008.42,125
1240102,932,15014.10,15021.60,15009.10,15016.60,125
1240102,933,15021.84,15029.34,15016.84,15024.34,125
1240102,934,15028.94,15036.44,15023.94,15031.44,125
1240102,935,15035.23,15042.73,15030.23,15037.73,125
1240102,936,15040.60,15048.10,15035.60,15043.10,125
1240102,937,15044.96,15052.46,15039.96,15047.46,125
1240102,938,15048.30,15055.80,15043.30,15050.80,125
1240102,939,15050.63,15058.13,15045.63,15053.13,125
1240102,940,15052.02,15059.52,15047.02,15054.52,125
1240102,941,15052.57,15060.07,15047.57,15055.07,125
1240102,942,15052.42,15059.92,15047.42,15054.92,125
1240102,943,15051.72,15059.22,15046.72,15054.22,125
1240102,944,15050.64,15058.14,15045.64,15053.14,125
1240102,945,15049.36,15056.86,15044.36,15051.86,125
1240102,946,15048.01,15055.51,15043.01,15050.51,125
1240102,947,15046.74,15054.24,15041.74,15049.24,125
1240102,948,15045.64,15053.14,15040.64,15048.14,125
1240102,949,15044.78,15052.28,15039.78,15047.28,125
1240102,950,15044.17,15051.67,15039.17,15046.67,125
1240102,951,15043.79,15051.29,15038.79,15046.29,125
1240102,952,15043.59,15051.09,15038.59,15046.09,125
1240102,953,15043.47,15050.97,15038.47,15045.97,125
1240102,954,15043.29,15050.79,15038.29,15045.79,125
1240102,955,15042.92,15050.42,15037.92,15045.42,125
1240102,956,15042.19,15049.69,15037.19,15044.69,125
1240102,957,15040.96,15048.46,15035.96,15043.46,125
1240102,958,15039.07,15046.57,15034.07,15041.57,125
1240102,959,15036.42,15043.92,15031.42,15038.92,125
1240102,1000,15032.91,15040.41,15027.91,15035.41,125
1240102,1001,15028.50,15036.00,15023.50,15031.00,125
1240102,1002,15023.20,15030.70,15018.20,15025.70,125
1240102,1003,15017.04,15024.54,15012.04,15019.54,125
1240102,1004,15010.12,15017.62,15005.12,15012.62,125
1240102,1005,15002.58,15010.08,14997.58,15005.08,125
1240102,1006,14994.60,15002.10,14989.60,14997.10,125
1240102,1007,14986.37,14993.87,14981.37,14988.87,125
1240102,1008,14978.13,14985.63,14973.13,14980.63,125
1240102,1009,14970.09,14977.59,14965.09,14972.59,125
1240102,1010,14962.48,14969.98,14957.48,14964.98,125
1240102,1011,14955.52,14963.02,14950.52,14958.02,125
1240102,1012,14949.38,14956.88,14944.38,14951.88,125
1240102,1013,14944.20,14951.70,14939.20,14946.70,125
1240102,1014,14940.09,14947.59,14935.09,14942.59,125
1240102,1015,14937.11,14944.61,14932.11,14939.61,125
1240102,1016,14935.24,14942.74,14930.24,14937.74,125
1240102,1017,14934.46,14941.96,14929.46,14936.96,125
1240102,1018,14934.67,14942.17,14929.67,14937.17,125
1240102,1019,14935.75,14943.25,14930.75,14938.25,125
1240102,1020,14937.54,14945.04,14932.54,14940.04,125
1240102,1021,14939.86,14947.36,14934.86,14942.36,125
1240102,1022,14942.55,14950.05,14937.55,14945.05,125
1240102,1023,14945.41,14952.91,14940.41,14947.91,125
1240102,1024,14948.30,14955.80,14943.30,14950.80,125
1240102,1025,14951.08,14958.58,14946.08,14953.58,125
1240102,1026,14953.63,14961.13,14948.63,14956.13,125
1240102,1027,14955.91,14963.41,14950.91,14958.41,125
1240102,1028,14957.89,14965.39,14952.89,14960.39,125
1240102,1029,14959.60,14967.10,14954.60,14962.10,125
1240102,1030,14961.08,14968.58,14956.08,14963.58,125
1240102,1031,14962.45,14969.95,14957.45,14964.95,125
1240102,1032,14963.82,14971.32,14958.82,14966.32,125
1240102,1033,14965.33,14972.83,14960.33,14967.83,125
1240102,1034,14967.14,14974.64,14962.14,14969.64,125
1240102,1035,14969.38,14976.88,14964.38,14971.88,125
1240102,1036,14972.19,14979.69,14967.19,14974.69,125
1240102,1037,14975.67,14983.17,14970.67,14978.17,125
1240102,1038,14979.89,14987.39,14974.89,14982.39,125
1240102,1039,14984.88,14992.38,14979.88,14987.38,125
1240102,1040,14990.61,14998.11,14985.61,14993.11,125
1240102,1041,14997.04,15004.54,14992.04,14999.54,125
1240102,1042,15004.04,15011.54,14999.04,15006.54,125
1240102,1043,15011.48,15018.98,15006.48,15013.98,125
1240102,1044,15019.17,15026.67,15014.17,15021.67,125
1240102,1045,15026.90,15034.40,15021.90,15029.40,125
1240102,1046,15034.45,15041.95,15029.45,15036.95,125
